0.wav| əŋəs̪, məəd̪ʰən̪s̪, kəs̪ɪs̪, koːs̪ələn̪s̪, ʋəd̪ʒd̪ʒɪən̪s̪, məllən̪s̪, t̪ʃeːt̪ɪs̪, ʋəŋs̪ɑːs̪,
243.wav| ðˈɛn ðˈə blˈɛsɛd wˈɒn, ˈɜːlɪ ˈɪn ðˈə mˈɔːnɪŋ, ɐdʒˈʌstɪd hˈɪz lˈəʊə ɹˈəʊb ˈand—tˈeɪkɪŋ hˈɪz bˈəʊl ˈand ˈaʊtə ɹˈəʊb—wˈɛnt təɡˈɛðə wˈɪð ðˈə s̪əŋʰə ˈɒv mˈʌŋks tˈuː t̪ʃun̪d̪ə's̪ hˈəʊm.
244.wav| wˈɛn ðˈɪs wˈɒz sˈɛd, pəɲt̪ʃəkəŋə ðˈə kˈɑːpəntə sˈɛd tˈuː vˈɛnəɹəbəl ud̪ɑːjɪn̪, 'nˈəʊ, vˈɛnəɹəbəl ud̪ɑːjɪn̪, ðˈə blˈɛsɛd wˈɒn hˈazənt dɪskɹˈaɪbd θɹˈiː fˈiːlɪŋz, hˈiːz dɪskɹˈaɪbd tˈuː fˈiːlɪŋz:
245.wav| sˈəʊ, sˈɛtɪŋ hˈɪz lˈɒdʒɪŋz ˈɪn ˈɔːdə ˈand tˈeɪkɪŋ hˈɪz ɹˈəʊbz ˈand bˈəʊl, vˈɛnəɹəbəl t̪ʃʰən̪n̪ə wˈɛnt tˈuː koːs̪əmbiː tˈuː wˈeə vˈɛnəɹəbəl ɑːn̪ən̪d̪ə wˈɒz stˈeɪɪŋ ˈat ʰoːs̪ɪt̪ə's̪ mˈɒnastəɹi.
246.wav| ðˈɛn ˈɪn ðˈə blˈɛsɛd wˈɒn, ˈaftə hˈiː hˈad ˈiːtən t̪ʃun̪d̪ə's̪ mˈiːl, ðˈeə ɐɹˈəʊz ˈeɪ sɪvˈiə dɪzˈiːz ɐkˈʌmpənid wˈɪð (ðˈə pˈasɪŋ ˈɒv) blˈʌd, wˈɪð ɪntˈɛns pˈeɪnz ˈand dˈɛdli.
247.wav| hˈiə kˈʌmz ʋəd̪ʒd̪ʒɪjə mɑːɦɪt̪ə ðˈə hˈaʊshəʊldə, ˈeɪ dɪsˈaɪpəl ˈɒv ðˈə kəntˈəmplətˌɪv oːt̪əmə.
248.wav| ðˈə lˈɒŋɡə dˈɪskɔːs tˈuː s̪ət̪ʃt̪ʃəkə. məɦɑː s̪ət̪ʃt̪ʃəkə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. θˈɜːti sˈɪks
249.wav| tˈuː d̪ʰən̪əɲd̪ʒɑːn̪ɪn̪. d̪ʰən̪əɲd̪ʒɑːn̪ɪn̪ s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. nˈaɪnti sˈɛvən
250.wav| ɹɪspˈɒndɪŋ, 'ˈaz jˈuː sˈeɪ, lˈɔːd,' tˈuː ðˈə blˈɛsɛd wˈɒn, ðˈə mˈʌŋk wˈɛnt tˈuː vˈɛnəɹəbəl pɪlɪn̪d̪əʋət̪ʃt̪ʃʰə ˈand ˈɒn ɐɹˈaɪvəl sˈɛd tˈuː hˈɪm, 'ðˈə tˈiːtʃə kˈɔːlz jˈuː, fɹˈɛnd ʋət̪ʃt̪ʃʰə.'
251.wav| ˈaɪ hˈav hˈɜːd ðˈat ˈɒn wˈɒn əkˈeɪʒən ðˈə blˈɛsɛd wˈɒn wˈɒz stˈeɪɪŋ nˈiə ɾɑːd̪ʒəəɦə ˈɪn d̪ʒiːʋəkə's̪ mˈaŋɡəʊ ɡɹˈəʊv.
252.wav| sˈəʊ ðˈə d̪eːʋəs̪ ˈɒv ðˈə θˈɜːti-θɹˈiː bˈaʊnd ʋeːpət̪ʃɪt̪t̪ɪ, ðˈə lˈɔːd ˈɒv ðˈə əs̪uɾəs̪, nˈɛk, hˈand, ˈand fˈʊt ˈand bɹˈɔːt hˈɪm bɪfˈɔː s̪əkkə ˈɪn ðˈə ɹˈaɪtʃəs ɐsˈɛmblɪ ˈɒv ðˈə d̪eːʋəs̪.
253.wav| jˈɛt ˈaɪ nˈaɪðə dɪlˈaɪtɪd ˈɪn pəkud̪ʰə kət̪ʃt̪ʃɑːjən̪ə's̪ wˈɜːdz nˈɔː dˈɪd ˈaɪ pɹˈəʊtɛst ɐɡˈɛnst ðˈɛm.
254.wav| ðˈɛn ðˈə blˈɛsɛd wˈɒn tˈəʊld ˈeɪ sˈɜːtən mˈʌŋk, 'kˈʌm, mˈʌŋk. ˈɪn mˈaɪ nˈeɪm, kˈɔːl pɪlɪn̪d̪əʋət̪ʃt̪ʃʰə, sˈeɪɪŋ, 'ðˈə tˈiːtʃə kˈɔːlz jˈuː, fɹˈɛnd ʋət̪ʃt̪ʃʰə.'
255.wav| wˈɛn ðˈɪs wˈɒz sˈɛd, s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə-sˈʌn sˈɛd tˈuː d̪ummukʰə ðˈə lɪt̪ʃt̪ʃʰəʋɪ-sˈʌn, 'dʒˈʌst jˈuː wˈeɪt, d̪ummukʰə.
256.wav| ˈɪɡnəɹəns. əʋɪd̪ʒd̪ʒɑː s̪ut̪t̪ə. əŋut̪t̪əɾə n̪ɪkɑːjə. tˈɛn: sˈɪksti wˈɒn
257.wav| t̪ʃun̪d̪əkə kwˈɪkli sˈɛt ˈɪt ˈaʊt, fˈəʊldɪd ˈɪn fˈɔː.
258.wav| ðˈɛn ðˈə θˈɔːt əkˈɜːd tˈuː vˈɛnəɹəbəl t̪ʃʰən̪n̪ə, 'ðˈɪs vˈɛnəɹəbəl ɑːn̪ən̪d̪ə ˈɪz stˈeɪɪŋ nˈiə koːs̪əmbiː ˈat ʰoːs̪ɪt̪ə's̪ mˈɒnastəɹi.
259.wav| nˈaʊ ˈɒn ðˈat əkˈeɪʒən, s̪un̪ɪd̪ʰə ˈand ʋəs̪s̪əkɑːɾə, ðˈə tʃˈiːf mˈɪnɪstəz ˈɒv məəd̪ʰə, wˈɜː bˈɪldɪŋ ˈeɪ sˈɪti ˈat pɑːʈəlɪ vˈɪlɪdʒ tˈuː pɹiːˈɛmpt ðˈə ʋəd̪ʒd̪ʒɪən̪s̪.
260.wav| t̪ʰeːɾəɑːt̪ʰɑː. wˈɒn: fˈɔːtiːn. ʋən̪əʋət̪ʃt̪ʃʰə's̪ pjˈuːpəl
261.wav| ˈɪɡnəɹəns. əʋɪd̪ʒd̪ʒɑː s̪ut̪t̪ə. s̪əŋjut̪t̪ə n̪ɪkɑːjə. θˈɜːti fˈaɪv: ˈeɪti
262.wav| ðˈats hˈaʊ s̪un̪ɪd̪ʰə ˈand ʋəs̪s̪əkɑːɾə, ðˈə tʃˈiːf mˈɪnɪstəz ˈɒv məəd̪ʰə, ˈɑː bˈɪldɪŋ ˈeɪ sˈɪti ˈat pɑːʈəlɪ vˈɪlɪdʒ tˈuː pɹiːˈɛmpt ðˈə ʋəd̪ʒd̪ʒɪən̪s̪.
263.wav| ɹˈaɪt ðˈeə nˈiə ɾɑːd̪ʒəəɦə ˈat d̪ʒiːʋəkə's̪ mˈaŋɡəʊ ɡɹˈəʊv…
264.wav| ʋeːpət̪ʃɪt̪t̪ɪ ˈand s̪ut̪ʃɪt̪t̪ɪ, pəɦɑːɾɑːd̪ə, wˈɪð n̪əmut̪ʃiː,
265.wav| ðˈɛn vˈɛnəɹəbəl s̪ɑːɾɪput̪t̪ə, hˈavɪŋ ɐdʒˈʌstɪd hˈɪz lˈəʊə ɹˈəʊb ˈand tˈeɪkɪŋ hˈɪz bˈəʊl ˈand ˈaʊtə ɹˈəʊb, wˈɛnt tˈuː d̪ʰən̪əɲd̪ʒɑːn̪ɪn̪'s̪ hˈəʊm.
266.wav| nˈaʊ ˈat ðˈat tˈaɪm kˈɪŋ əd̪ʒɑːt̪əs̪ət̪t̪u ʋeːd̪eːɦɪput̪t̪ə ˈɒv məəd̪ʰə, səspˈɪʃəs ˈɒv kˈɪŋ pəd̪ʒd̪ʒoːt̪ə, wˈɒz hˈavɪŋ ɾɑːd̪ʒəəɦə fˈɔːtɪfˌaɪd.
267.wav| ˈaɪ hˈav hˈɜːd ðˈat ˈɒn wˈɒn əkˈeɪʒən ðˈə blˈɛsɛd wˈɒn wˈɒz stˈeɪɪŋ nˈiə t̪ʃəmpɑː ˈɒn ðˈə bˈaŋks ˈɒv ðˈə əəɾɑː lˈeɪk wˈɪð ˈeɪ lˈɑːdʒ kəmjˈuːnɪti ˈɒv mˈʌŋks, ɐpɹˈɒksɪmətli fˈaɪv hˈʌndɹɪd mˈʌŋks ˈɪn ˈɔːl.
268.wav| ðˈɛn s̪əkkə ðˈə d̪eːʋə-kˈɪŋ ˈand ðˈə ɡɹˈeɪt kˈɪŋ ʋeːs̪s̪əʋəɳɳə, ɡˈɪvɪŋ pɹˈɛsɪdəns tˈuː vˈɛnəɹəbəl məɦɑː moːəllɑːn̪ə, wˈɛnt tˈuː ðˈə ʋeːd̪ʒəjən̪t̪ə pˈalɪs.
269.wav| ðˈɛn ˈeɪ sˈʌdən ɡɹˈeɪt ɹˈaptʃə ˈand dʒˈɔɪ wˈɛld ˈʌp ˈɪn vˈɛnəɹəbəl t̪ʃʰən̪n̪ə ˈat ðˈə θˈɔːt, 'sˈəʊ ˈaɪ ˈam kˈeɪpəbəl ˈɒv ˌʌndəstˈandɪŋ ðˈə d̪ʰəmmə!'
270.wav| ðˈə ʃˈɔːtə ɐnˈaləsˌɪs ˈɒv ˈakʃən. t̪ʃuːɭə kəmmə-ʋɪbʰəŋə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. wˈɒn hˈʌndɹɪd θˈɜːti fˈaɪv
271.wav| ˈand sˈəʊ ðˈə t̪ʃɑːt̪umɑː s̪əkjən̪s̪ ˈand bɾəɦmɑː s̪əɦəmpət̪ɪ wˈɜː ˈeɪbəl tˈuː ɹˈɛkənsˌaɪl ðˈə blˈɛsɛd wˈɒn bˈaɪ mˈiːnz ˈɒv ðˈə sˈɪmɪlˌɪ ˈɒv ðˈə sˈiːdlɪŋz ˈand ðˈə sˈɪmɪlˌɪ ˈɒv ðˈə jˈʌŋ kˈɑːf.
272.wav| ˈand ˈɒn ðˈat əkˈeɪʒən, əd̪ʒɑːt̪əs̪ət̪t̪u ʋeːd̪eːɦɪput̪t̪ə, ðˈə kˈɪŋ ˈɒv məəd̪ʰə, wˈɒntɪd tˈuː ɐtˈak ðˈə ʋəd̪ʒd̪ʒɪən̪s̪.
273.wav| ˈaɪ hˈav hˈɜːd ðˈat ˈɒn wˈɒn əkˈeɪʒən ðˈə blˈɛsɛd wˈɒn wˈɒz stˈeɪɪŋ nˈiə ɾɑːd̪ʒəəɦə ˈɪn ðˈə məd̪d̪əkut̪ʃt̪ʃʰɪ dˈiə ɹɪzˈɜːv.
274.wav| ˈaz s̪ubʰɑː ðˈə nˈʌn wˈɒz ɡˈəʊɪŋ θɹˈuː d̪ʒiːʋəkə's̪ dɪlˈaɪtfəl mˈaŋɡəʊ ɡɹˈəʊv, ˈeɪ lˈɪbətˌiːn (ˈeɪ ɡˈəʊldsmɪθz sˈʌn) blˈɒkt hˈɜː pˈaθ, sˈəʊ ʃˈiː sˈɛd tˈuː hˈɪm:
275.wav| ðˈeə ˈɑː ðˈə kəntˈəmplətˌɪvz kˈɔːld ðˈə n̪ɪəɳʈʰəs̪ [dʒˈeɪnz].
276.wav| ðˈɛn d̪ʒən̪t̪u ðˈə d̪eːʋə's̪ sˈʌn, ˈɒn ðˈə upoːs̪ət̪ʰə ˈɒv ðˈə fˈɪftiːnθ, wˈɛnt tˈuː ðˈəʊz mˈʌŋks ˈand, ˈɒn ɐɹˈaɪvəl, ɐdɹˈɛst ðˈɛm ˈɪn vˈɜːsɪz.
277.wav| kˈɪŋ s̪eːn̪ɪjə bɪmbɪs̪ɑːɾə ˈɒv məəd̪ʰə hˈazənt pɹəvˈəʊkt mˈiː, nˈɔː hˈav ðˈə lɪt̪ʃt̪ʃʰəʋɪs̪ ˈɒv ʋeːs̪ɑːliː, nˈɔː hˈaz sˈʌm ˈʌðə hˈɒstaɪl kˈɪŋ.
278.wav| ðˈə ʃˈɔːtə oːs̪ɪŋə s̪ɑːlə-tɹˈiː dˈɪskɔːs. t̪ʃuːɭəoːs̪ɪŋəs̪ɑːlə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. θˈɜːti wˈɒn
279.wav| ðˈə blˈɛsɛd wˈɒn sˈɔː ðˈə spˈɪɹɪt ʋəd̪ʒɪɾəpɑːɳɪn̪, ˈaz dˈɪd s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə-sˈʌn.
280.wav| hˈaz kˈɪŋ s̪eːn̪ɪjə bɪmbɪs̪ɑːɾə ˈɒv məəd̪ʰə pɹəvˈəʊkt jˈuː, ˈɔː hˈav ðˈə lɪt̪ʃt̪ʃʰəʋɪs̪ ˈɒv ʋeːs̪ɑːliː ˈɔː sˈʌm ˈʌðə hˈɒstaɪl kˈɪŋ?'
281.wav| ˈaz hˈiː wˈɒz sˈɪtɪŋ ðˈeə, hˈiː sˈɛd tˈuː vˈɛnəɹəbəl ɑːn̪ən̪d̪ə, 'ðˈɪs hˈaz bˈiːn sˈɛd bˈaɪ pəɲt̪ʃɑːlət̪ʃəɳɖə ðˈə d̪eːʋə's̪ sˈʌn:
282.wav| wˈɛn hˈiː kˈan ɐtˈeɪn ˈaz hˈiː lˈaɪks, wɪðˈaʊt dˈɪfɪkˌʌlti, wɪðˈaʊt tɹˈʌbəl, ðˈə fˈɔː d̪ʒʰɑːn̪əs̪ ðˈat ˈɑː hˈaɪtənd mˈaɪnd-stˈeɪts ˈand plˈɛzənt ɐbˈaɪdɪŋz ˈɪn ðˈə hˈiə-ˈand-nˈaʊ;
283.wav| tˈuː s̪əd̪ʒd̪ʒʰə. s̪əd̪ʒd̪ʒʰə s̪ut̪t̪ə. əŋut̪t̪əɾə n̪ɪkɑːjə. nˈaɪn: ˈeɪt
284.wav| sˈəʊ ðˈəʊz lɪt̪ʃt̪ʃʰəʋɪs̪ sˈɛd tˈuː hˈɜː, 'hˈeɪ, əmbəpɑːliː, wˈɒt ˈɑː jˈuː dˈuːɪŋ—dɹˈaɪvɪŋ ˈaksəl tˈuː ˈaksəl, wˈiːl tˈuː wˈiːl, jˈəʊk tˈuː jˈəʊk—bɹˈɪŋɪŋ ðˈə jˈʌŋ lɪt̪ʃt̪ʃʰəʋɪs̪ tˈuː ˈeɪ hˈɒlt?'
285.wav| fɹˈɒm wˈɒt jˈuː hˈav hˈɜːd, hˈaʊ dˈɪd ðˈə d̪əɳɖəkiː wˈɪldənəs, ðˈə kɑːlɪŋə wˈɪldənəs, ðˈə meːd̪ʒd̪ʒʰə wˈɪldənəs, ˈand ðˈə mɑːt̪əŋə wˈɪldənəs bɪkˈʌm wˈɪldənəsɪz?'
286.wav| sˈəʊ ðˈə blˈɛsɛd wˈɒn ˈɜːlɪ ˈɪn ðˈə mˈɔːnɪŋ ɐdʒˈʌstɪd hˈɪz lˈəʊə ɹˈəʊb ˈand—tˈeɪkɪŋ hˈɪz bˈəʊl ˈand ˈaʊtə ɹˈəʊb—wˈɛnt təɡˈɛðə wˈɪð ðˈə s̪əŋʰə ˈɒv mˈʌŋks tˈuː s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə-sˈʌnz mˈɒnastəɹi.
287.wav| ðˈɛn tˈuː bɹˈɑːmən kɒzmˈɒlədʒˌɪsts [ɑːd̪ʒiːʋəkəs̪] wˈɛnt tˈuː ðˈə blˈɛsɛd wˈɒn ˈand, ˈɒn ɐɹˈaɪvəl, ɛkstʃˈeɪndʒd kˈɜːtiəs ɡɹˈiːtɪŋz wˈɪð hˈɪm.
288.wav| ˈɒn wˈɒn əkˈeɪʒən ˈeɪ lˈɑːdʒə nˈʌmbə ˈɒv ˈɛldə mˈʌŋks wˈɜː stˈeɪɪŋ ɐmˈʌŋ ðˈə t̪ʃeːt̪ɪjəs̪ ˈat s̪əɦəd̪ʒən̪ɪ [s̪əɦəd̪ʒət̪ɪ].
289.wav| ðˈeə hˈiː ɐdɹˈɛst vˈɛnəɹəbəl s̪ɑːɾɪput̪t̪ə, 's̪ɑːɾɪput̪t̪ə, ˈɪt ˈɪz sˈɛd ˈɪn əd̪ʒɪt̪ə's̪ kwˈɛstʃən ˈɪn ðˈə wˈeɪ tˈuː ðˈə fˈɜːðə ʃˈɔː:
290.wav| ˈaɪ ɐtˈeɪn—wɛnˈɛvə ˈaɪ wˈɒnt, wɪðˈaʊt stɹˈeɪn, wɪðˈaʊt dˈɪfɪkˌʌlti—ðˈə fˈɔː d̪ʒʰɑːn̪əs̪ ðˈat ˈɑː hˈaɪtənd mˈɛntəl stˈeɪts, plˈɛzənt ɐbˈaɪdɪŋz ˈɪn ðˈə hˈiə ˈand nˈaʊ.
291.wav| ˈaɪ hˈav hˈɜːd ðˈat ˈɒn wˈɒn əkˈeɪʒən ðˈə blˈɛsɛd wˈɒn wˈɒz stˈeɪɪŋ nˈiə s̪ɑːʋət̪t̪ʰiː ˈɪn d̪ʒeːt̪ə's̪ ɡɹˈəʊv, ən̪ɑːt̪ʰəpɪɳɖɪkə's̪ mˈɒnastəɹi. ðˈeə hˈiː ɐdɹˈɛst ðˈə mˈʌŋks, 'mˈʌŋks!'
292.wav| ðˈɛn ðˈə lɪt̪ʃt̪ʃʰəʋɪs̪ ˈɒv ʋeːs̪ɑːliː hˈɜːd, 'ðˈə blˈɛsɛd wˈɒn, ðˈeɪ sˈeɪ, hˈaz ɐɹˈaɪvd ˈat ʋeːs̪ɑːliː ˈand ˈɪz stˈeɪɪŋ nˈiə ʋeːs̪ɑːliː ˈɪn əmbəpɑːliː's̪ ɡɹˈəʊv!'
293.wav| ðˈə ʃˈɔːtə lˈaɪənz ɹˈɔː dˈɪskɔːs. t̪ʃuːɭəs̪iːɦən̪ɑːd̪ə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. ɪlˈɛvən
294.wav| hˈav jˈuː hˈɜːd hˈaʊ ðˈə d̪əɳɖəkiː wˈɪldənəs, ðˈə kɑːlɪŋə wˈɪldənəs, ðˈə meːd̪ʒd̪ʒʰə wˈɪldənəs, ˈand ðˈə mɑːt̪əŋə wˈɪldənəs bɪkˈeɪm wˈɪldənəsɪz?'
295.wav| ðˈə ʃˈɔːtə ɛɡzɔːtˈeɪʃən tˈuː ɾɑːɦulə. t̪ʃuːɭə ɾɑːɦuloːʋɑːd̪ə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. wˈɒn hˈʌndɹɪd fˈɔːti sˈɛvən
296.wav| ðˈə ʃˈɔːtə fˈʊl-mˈuːn nˈaɪt dˈɪskɔːs. t̪ʃuːɭə puɳɳəmə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. wˈɒn hˈʌndɹɪd tˈɛn
297.wav| sˈəʊ ðˈə bɹˈɑːmən pət̪ʃt̪ʃən̪ɪkəs̪ɑːt̪ə wˈɛnt tˈuː ðˈə blˈɛsɛd wˈɒn ˈand, fˈɒləʊɪŋ bɪhˈaɪnd ðˈə blˈɛsɛd wˈɒn ˈaz hˈiː wˈɒz dˈuːɪŋ wˈɔːkɪŋ mˌɛdɪtˈeɪʃən, sˈɛd tˈuː hˈɪm, 'spˈiːk d̪ʰəmmə, kəntˈəmplətˌɪv.'
298.wav| ɹˈaɪt ðˈeə nˈiə ɾɑːd̪ʒəəɦə ˈat ðˈə məd̪d̪əkut̪ʃt̪ʃʰɪ dˈiə pˈɑːk.
299.wav| ðˈɛn s̪əd̪ʒd̪ʒʰə ðˈə wˈɒndəɹə wˈɛnt tˈuː ðˈə blˈɛsɛd wˈɒn ˈand, ˈɒn ɐɹˈaɪvəl, ɛkstʃˈeɪndʒd kˈɜːtiəs ɡɹˈiːtɪŋz wˈɪð hˈɪm.
300.wav| ðˈə blˈɛsɛd wˈɒn hˈaz bˈiːn ɹˈɛkənsˌaɪld bˈaɪ ðˈə t̪ʃɑːt̪umɑː s̪əkjən̪s̪ ˈand bɾəɦmɑː s̪əɦəmpət̪ɪ bˈaɪ mˈiːnz ˈɒv ðˈə sˈɪmɪlˌɪ ˈɒv ðˈə sˈiːdlɪŋz ˈand ðˈə sˈɪmɪlˌɪ ˈɒv ðˈə jˈʌŋ kˈɑːf.'
301.wav| ðˈə ʃˈɔːtə kɹˈeɪvɪŋ-dɪstɹˈʌkʃən dˈɪskɔːs. t̪ʃuːɭə t̪əɳɦɑːs̪əŋkʰəjə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. θˈɜːti sˈɛvən
302.wav| ðˈɛn, hˈavɪŋ dɪklˈeəd ðˈə ɪmpˌɒsəbˈɪlɪti ˈand ʌnfˌiːzɪbˈɪlɪti (ˈɒv ðˈat ɐtˈeɪnmənt) tˈuː ðˈə nˈɒvɪs ət̪ʃɪɾəʋət̪ə, pɹˈɪns d̪ʒəjəs̪eːn̪ə ɡˈɒt ˈʌp fɹˈɒm hˈɪz sˈiːt ˈand lˈɛft.
303.wav| s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə-sˈʌn, wˈɪð hˈɪz ˈəʊn hˈand, sˈɜːvd ˈand sˈatɪsfˌaɪd ðˈə s̪əŋʰə ˈɒv mˈʌŋks hˈɛdɪd bˈaɪ ðˈə blˈɛsɛd wˈɒn wˈɪð ɛkskwˈɪsɪt stˈeɪpəl ˈand nˈɒn-stˈeɪpəl fˈuːd.
304.wav| ðˈɛn sˈɛvən hˈʌndɹɪd d̪eːʋət̪ɑːs̪ fɹˈɒm ðˈə s̪ət̪ulləpə ɹˈɛtɪnjˌuː, ˈɪn ðˈə fˈɑː ɛkstɹˈiːm ˈɒv ðˈə nˈaɪt, ðˈeə ɛkstɹˈiːm ɹˈeɪdiəns lˈaɪtɪŋ ˈʌp ðˈə ɛntˈaɪɹɪti ˈɒv məd̪d̪əkut̪ʃt̪ʃʰɪ, wˈɛnt tˈuː ðˈə blˈɛsɛd wˈɒn.
305.wav| s̪ut̪t̪ə n̪ɪpɑːt̪ə. fˈaɪv: wˈɒn. əd̪ʒɪt̪ə's̪ kwˈɛstʃənz
306.wav| ðˈɛn n̪ən̪d̪əkə, ðˈə tʃˈiːf mˈɪnɪstə ˈɒv ðˈə lɪt̪ʃt̪ʃʰəʋɪs̪, wˈɛnt tˈuː ðˈə blˈɛsɛd wˈɒn ˈand ˈɒn ɐɹˈaɪvəl, hˈavɪŋ bˈaʊd dˈaʊn tˈuː hˈɪm, sˈat tˈuː wˈɒn sˈaɪd.
307.wav| ˈand ˈɒn ðˈat əkˈeɪʒən s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə-sˈʌn wˈɒz dwˈɛlɪŋ ˈɪn ʋeːs̪ɑːliː—ˈeɪ dɪbˈeɪtə, ˈeɪ sˈɒfɪst, wˈɛl-ɹɪɡˈɑːdɪd bˈaɪ pˈiːpəl ˈat lˈɑːdʒ.
308.wav| ðˈɛn ðˈə bɹˈɑːmən d̪ʒəʈɑː bʰɑːɾəd̪ʋɑːd̪ʒə ɹɪsˈiːvd ðˈə ɡˈəʊɪŋ-fˈɔːθ ˈɪn ðˈə blˈɛsɛd wˈɒnz pɹˈɛzəns, hˈiː ɡˈeɪnd ðˈə ɐksˈɛptəns.
309.wav| t̪ʰeːɾəɑːt̪ʰɑː. wˈɒn: wˈɒn hˈʌndɹɪd θˈɜːtiːn. ʋən̪əʋət̪ʃt̪ʃʰə
310.wav| sˈəʊ ðˈə blˈɛsɛd wˈɒn ɐdɹˈɛst vˈɛnəɹəbəl ɑːn̪ən̪d̪ə, 'hˈav jˈuː hˈɜːd, ɑːn̪ən̪d̪ə, ðˈat ðˈə ʋəd̪ʒd̪ʒɪən̪s̪ mˈiːt ˈɒfən ˈand mˈiːt ˈeɪ ɡɹˈeɪt dˈiːl?'
311.wav| d̪ʒən̪t̪u ðˈə d̪eːʋə's̪ sˈʌn. d̪ʒən̪t̪u s̪ut̪t̪ə. s̪əŋjut̪t̪ə n̪ɪkɑːjə. tˈuː: twˈɛnti fˈaɪv
312.wav| wˈɛn ðˈɪs wˈɒz sˈɛd, ðˈə bɹˈɑːmən d̪ʒəʈɑː bʰɑːɾəd̪ʋɑːd̪ʒə sˈɛd tˈuː ðˈə blˈɛsɛd wˈɒn, 'maɡnˈɪfɪsənt, mˈastə oːt̪əmə!
313.wav| wˈɛn ðˈɪs wˈɒz sˈɛd, ˈeɪ sˈɜːtən mˈan sˈɛd tˈuː n̪ən̪d̪əkə, ðˈə tʃˈiːf mˈɪnɪstə ˈɒv ðˈə lɪt̪ʃt̪ʃʰəʋɪs̪, 'ˈɪt ˈɪz nˈaʊ tˈaɪm fˈɔː jˈɔː bˈaθ, sˈɜː.'
314.wav| vˈɛnəɹəbəl məɦɑː kəs̪s̪əpə sˈɔː ðˈə ɑːd̪ʒiːʋəkən̪ ɐsˈɛtɪk kˈʌmɪŋ fɹˈɒm ɐfˈɑː, ˈand ˈɒn sˈiːɪŋ hˈɪm sˈɛd tˈuː hˈɪm, 'dˈuː jˈuː nˈəʊ ˈaʊə tˈiːtʃə, fɹˈɛnd?'
315.wav| vˈɛnəɹəbəl ɑːn̪ən̪d̪ə sˈɔː hˈɪm kˈʌmɪŋ fɹˈɒm ɐfˈɑː ˈand, ˈɒn sˈiːɪŋ hˈɪm, sˈɛd tˈuː ðˈə blˈɛsɛd wˈɒn, 'vˈɛnəɹəbəl sˈɜː, hˈiə kˈʌmz s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə:
316.wav| ˈan ɐnˈaləsˌɪs ˈɒv ðˈə tɹˈuːθs. s̪ət̪ʃt̪ʃə-ʋɪbʰəŋə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. wˈɒn hˈʌndɹɪd fˈɔːti wˈɒn
317.wav| ˈand ˈɒn ðˈat əkˈeɪʒən ˈeɪ bɹˈɑːmən nˈeɪmd pət̪ʃt̪ʃən̪ɪkəs̪ɑːt̪ə (ɛndʒˈɔɪə ˈɒv kˌɒntɹədˈɪkʃən) wˈɒz lˈɪvɪŋ ˈɪn s̪ɑːʋət̪t̪ʰiː.
318.wav| ud̪ɑːn̪ə. θɹˈiː: θɹˈiː. jəs̪oːd̪ʒə (jəs̪oːd̪ʒə s̪ut̪t̪ə)
319.wav| pɹˈɪns boːd̪ʰɪ. boːd̪ʰɪɾɑːd̪ʒəkumɑːɾə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. ˈeɪti fˈaɪv
320.wav| s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə-sˈʌn, ˈaftə hˈavɪŋ ɛkskwˈɪsɪt stˈeɪpəl ˈand nˈɒn-stˈeɪpəl fˈuːd pɹɪpˈeəd ˈɪn hˈɪz ˈəʊn mˈɒnastəɹi, ɐnˈaʊnst ðˈə tˈaɪm tˈuː ðˈə blˈɛsɛd wˈɒn:
321.wav| ðˈɛn ðˈə θˈɔːt əkˈɜːd tˈuː ðˈə bɹˈɑːmən pət̪ʃt̪ʃən̪ɪkəs̪ɑːt̪ə, 'lˈɛts ɡˈəʊ tˈuː ðˈə kəntˈəmplətˌɪv oːt̪əmə ˈand kˌɒntɹədˈɪkt wɒtˈɛvə hˈiː sˈɛz.'
